Weekly Prices time series,,,,,,,,,
,,,,,,,,,
,,Pump price in pence/litre,,,Duty rate in pence/litre,,,VAT percentage rate,
Date,,ULSP,ULSD,,ULSP,ULSD,,ULSP,ULSD
,,,,,,,,,
09/06/2003,,74.59,76.77,,45.82,45.82,,17.50,17.50
16/06/2003,,74.47,76.69,,45.82,45.82,,17.50,17.50
23/06/2003,,74.42,76.62,,45.82,45.82,,17.50,17.50
30/06/2003,,74.35,76.51,,45.82,45.82,,17.50,17.50
07/07/2003,,74.28,76.46,,45.82,45.82,,17.50,17.50
14/07/2003,,74.21,76.41,,45.82,45.82,,17.50,17.50
21/07/2003,,75.07,76.90,,45.82,45.82,,17.50,17.50
28/07/2003,,75.10,76.86,,45.82,45.82,,17.50,17.50
04/08/2003,,75.12,76.81,,45.82,45.82,,17.50,17.50
11/08/2003,,75.44,77.08,,45.82,45.82,,17.50,17.50
18/08/2003,,75.81,77.44,,45.82,45.82,,17.50,17.50
26/08/2003,,76.05,77.68,,45.82,45.82,,17.50,17.50
01/09/2003,,76.13,77.59,,45.82,45.82,,17.50,17.50
08/09/2003,,76.23,77.67,,45.82,45.82,,17.50,17.50
15/09/2003,,76.20,77.63,,45.82,45.82,,17.50,17.50
22/09/2003,,76.15,77.55,,45.82,45.82,,17.50,17.50
29/09/2003,,76.08,77.53,,45.82,45.82,,17.50,17.50
06/10/2003,,76.43,77.66,,47.10,47.10,,17.50,17.50
13/10/2003,,75.90,77.43,,47.10,47.10,,17.50,17.50
20/10/2003,,76.05,77.54,,47.10,47.10,,17.50,17.50
27/10/2003,,76.00,77.51,,47.10,47.10,,17.50,17.50
03/11/2003,,76.00,77.52,,47.10,47.10,,17.50,17.50
10/11/2003,,75.94,77.47,,47.10,47.10,,17.50,17.50
17/11/2003,,75.93,77.52,,47.10,47.10,,17.50,17.50
24/11/2003,,76.02,77.67,,47.10,47.10,,17.50,17.50
01/12/2003,,76.00,77.66,,47.10,47.10,,17.50,17.50
08/12/2003,,75.97,77.63,,47.10,47.10,,17.50,17.50
15/12/2003,,75.96,77.62,,47.10,47.10,,17.50,17.50
22/12/2003,,75.92,77.61,,47.10,47.10,,17.50,17.50
29/12/2003,,75.94,77.60,,47.10,47.10,,17.50,17.50
05/01/2004,,75.88,77.54,,47.10,47.10,,17.50,17.50
12/01/2004,,75.90,77.54,,47.10,47.10,,17.50,17.50
19/01/2004,,76.36,78.06,,47.10,47.10,,17.50,17.50
26/01/2004,,76.44,78.08,,47.10,47.10,,17.50,17.50
02/02/2004,,76.48,78.13,,47.10,47.10,,17.50,17.50
09/02/2004,,76.50,77.98,,47.10,47.10,,17.50,17.50
16/02/2004,,76.44,78.00,,47.10,47.10,,17.50,17.50
23/02/2004,,76.38,77.93,,47.10,47.10,,17.50,17.50
01/03/2004,,76.32,77.87,,47.10,47.10,,17.50,17.50
08/03/2004,,76.73,78.25,,47.10,47.10,,17.50,17.50
15/03/2004,,77.39,78.80,,47.10,47.10,,17.50,17.50
